date,open,close,high,low,vol,amt,amp,pct,chg,turnover
2024-02-22,103.876,103.922,103.925,103.832,47547,493875380.778,0.09,0.1,0.102,22.07
2024-02-23,103.956,104.014,104.039,103.955,32953,342790210.400,0.08,0.09,0.092,15.30
2024-02-26,104.012,104.026,104.031,103.99,65052,676638286.450,0.04,0.01,0.012,30.20
2024-02-27,104.031,104.043,104.105,104.031,59377,617959948.510,0.07,0.02,0.017,27.56
2024-02-28,104.037,104.056,104.06,104.028,61342,638270051.300,0.03,0.01,0.013,28.48
2024-02-29,104.066,104.134,104.138,104.065,83160,865813883.700,0.07,0.07,0.078,38.60
2024-03-01,104.132,104.013,104.134,104.009,156532,1629077258.700,0.12,-0.12,-0.121,72.66
2024-03-04,104.013,104.031,104.034,103.996,41177,428347728.100,0.04,0.02,0.018,19.11
2024-03-05,104.04,104.081,104.088,104.04,105747,1100655097.100,0.05,0.05,0.050,49.09
2024-03-06,104.089,104.135,104.149,104.089,56536,588660672.100,0.06,0.05,0.054,26.24
2024-03-07,104.22,104.174,104.26,104.152,53518,557524880.950,0.10,0.04,0.039,24.84
2024-03-08,104.215,104.176,104.215,104.171,82300,857453272.000,0.04,0.0,0.002,38.20
2024-03-11,104.176,104.149,104.199,104.147,89120,928313741.700,0.05,-0.03,-0.027,41.37
2024-03-12,104.119,104.058,104.119,104.037,192048,1998733390.000,0.08,-0.09,-0.091,89.15
2024-03-13,104.058,103.984,104.063,103.946,156410,1626336503.300,0.11,-0.07,-0.074,72.61
2024-03-14,104.034,103.971,104.034,103.97,90715,943304746.500,0.06,-0.01,-0.013,42.11
2024-03-15,103.972,104.019,104.027,103.971,166898,1735977685.000,0.05,0.05,0.048,77.48
2024-03-18,104.043,104.112,104.112,104.027,67458,702171647.600,0.08,0.09,0.093,31.31
2024-03-19,104.112,104.203,104.204,104.112,192588,2005748822.170,0.09,0.09,0.091,89.40
2024-03-20,104.203,104.18,104.21,104.165,208799,2175307160.110,0.04,-0.02,-0.023,96.93
2024-03-21,104.181,104.2,104.205,104.144,54532,568139431.900,0.06,0.02,0.020,25.31
2024-03-22,104.201,104.22,104.261,104.201,60042,625887392.800,0.06,0.02,0.020,27.87
2024-03-25,104.219,104.216,104.236,104.206,45286,471979030.100,0.03,0.0,-0.004,21.02
2024-03-26,104.242,104.227,104.242,104.167,164038,1709563615.500,0.07,0.01,0.011,76.15
2024-03-27,104.23,104.33,104.331,104.23,70023,730279226.250,0.10,0.1,0.103,32.51
2024-03-28,104.33,104.365,104.404,104.33,90191,941403443.000,0.07,0.03,0.035,41.87
2024-03-29,104.4,104.405,104.405,104.324,119098,1243156136.350,0.08,0.04,0.040,55.29
2024-04-01,104.402,104.358,104.402,104.352,169023,1763863339.100,0.05,-0.05,-0.047,78.46
2024-04-02,104.357,104.402,104.402,104.357,122880,1282796873.400,0.04,0.04,0.044,57.04
2024-04-03,104.425,104.497,104.5,104.425,145165,1516648420.650,0.07,0.09,0.095,67.39
2024-04-08,104.497,104.557,104.577,104.451,172398,1801982860.700,0.12,0.06,0.060,80.03
2024-04-09,104.585,104.622,104.629,104.557,142733,1493121756.200,0.07,0.06,0.065,66.26
2024-04-10,104.596,104.619,104.625,104.552,63268,661706016.200,0.07,0.0,-0.003,29.37
2024-04-11,104.619,104.65,104.666,104.618,145749,1525343563.200,0.05,0.03,0.031,67.66
2024-04-12,104.652,104.723,104.733,104.652,55171,577781291.600,0.08,0.07,0.073,25.61
2024-04-15,104.723,104.693,104.772,104.693,40946,428774485.300,0.08,-0.03,-0.030,19.01
2024-04-16,104.693,104.655,104.703,104.623,58261,609656626.300,0.08,-0.04,-0.038,27.05
2024-04-17,104.605,104.642,104.674,104.599,64109,670902295.800,0.07,-0.01,-0.013,29.76
2024-04-18,104.648,104.722,104.722,104.642,63469,664338440.020,0.08,0.08,0.080,29.46
2024-04-19,104.732,104.753,104.756,104.725,48323,506136123.900,0.03,0.03,0.031,22.43
2024-04-22,104.779,104.815,104.816,104.76,200132,2097416004.200,0.05,0.06,0.062,92.90
2024-04-23,104.821,104.888,104.889,104.821,40708,426917310.550,0.06,0.07,0.073,18.90
2024-04-24,104.868,104.8,104.868,104.8,74773,783794812.455,0.06,-0.08,-0.088,34.71
2024-04-25,104.819,104.816,104.822,104.766,72271,757451059.000,0.05,0.02,0.016,33.55
2024-04-26,104.817,104.694,104.853,104.685,199834,2094536298.280,0.16,-0.12,-0.122,92.77
2024-04-29,104.68,104.388,104.68,104.309,26193,273423480.800,0.35,-0.29,-0.306,12.16
2024-04-30,104.789,104.647,104.789,104.468,138168,1444945617.337,0.31,0.25,0.259,64.14
2024-05-06,104.67,104.795,104.809,104.644,43641,457083750.718,0.16,0.14,0.148,20.26
2024-05-07,104.795,104.885,104.902,104.795,101697,1066604854.700,0.10,0.09,0.090,47.21
2024-05-08,104.89,104.865,104.89,104.846,125680,1318066920.400,0.04,-0.02,-0.020,58.34
2024-05-09,104.816,104.819,104.848,104.811,140858,1476727449.400,0.04,-0.04,-0.046,65.39
2024-05-10,104.819,104.803,104.846,104.798,38699,405618366.930,0.05,-0.02,-0.016,17.96
2024-05-13,104.806,104.898,104.899,104.806,104909,1100316493.300,0.09,0.09,0.095,48.70
2024-05-14,104.903,104.945,104.958,104.903,103175,1082749790.900,0.05,0.04,0.047,47.90
2024-05-15,104.945,104.927,104.957,104.919,74461,781415545.150,0.04,-0.02,-0.018,34.57
