date,open,close,high,low,vol
2024-01-02,0.646,0.631,0.646,0.631,258668100.0
2024-01-03,0.63,0.634,0.637,0.629,255179600.0
2024-01-04,0.633,0.621,0.633,0.618,249090300.0
2024-01-05,0.62,0.615,0.633,0.61,307017900.0
2024-01-08,0.612,0.606,0.622,0.606,245994900.0
2024-01-09,0.608,0.617,0.626,0.599,371651861.0
2024-01-10,0.612,0.621,0.632,0.606,362135500.0
2024-01-11,0.619,0.638,0.643,0.618,424153190.0
2024-01-12,0.635,0.636,0.649,0.632,413203300.0
2024-01-15,0.63,0.626,0.637,0.624,265184600.0
2024-01-16,0.625,0.636,0.64,0.621,324756200.0
2024-01-17,0.634,0.614,0.634,0.613,313270012.0
2024-01-18,0.61,0.632,0.633,0.61,393819798.0
2024-01-19,0.629,0.625,0.643,0.624,297167100.0
2024-01-22,0.616,0.605,0.624,0.6,435540700.0
2024-01-23,0.604,0.611,0.621,0.598,384593602.0
2024-01-24,0.613,0.607,0.615,0.589,358964728.0
2024-01-25,0.604,0.617,0.617,0.596,388283098.0
2024-01-26,0.612,0.605,0.618,0.604,351661928.0
2024-01-29,0.604,0.576,0.605,0.576,422957428.0
2024-01-30,0.57,0.562,0.581,0.561,277872425.0
2024-01-31,0.56,0.551,0.571,0.55,362333200.0
2024-02-01,0.548,0.553,0.565,0.546,290011468.0
2024-02-02,0.553,0.534,0.555,0.518,354068499.0
2024-02-05,0.526,0.523,0.536,0.501,394671837.0
2024-02-06,0.521,0.555,0.556,0.519,427144000.0
2024-02-07,0.554,0.567,0.572,0.554,337047900.0
2024-02-08,0.574,0.58,0.587,0.571,285018232.0
2024-02-19,0.585,0.577,0.585,0.573,185698614.0
2024-02-20,0.577,0.575,0.577,0.568,170038032.0
2024-02-21,0.572,0.583,0.595,0.568,288948700.0
2024-02-22,0.582,0.587,0.591,0.58,175752800.0
2024-02-23,0.587,0.593,0.595,0.585,196515300.0
2024-02-26,0.593,0.587,0.595,0.583,213474400.0
2024-02-27,0.587,0.597,0.598,0.583,194337800.0
2024-02-28,0.599,0.588,0.62,0.588,540465099.0
2024-02-29,0.585,0.61,0.612,0.584,412289999.0
2024-03-01,0.611,0.614,0.618,0.605,357719432.0
2024-03-04,0.614,0.616,0.622,0.611,268330100.0
2024-03-05,0.611,0.607,0.611,0.602,259909400.0
2024-03-06,0.605,0.618,0.626,0.602,298713150.0
2024-03-07,0.618,0.603,0.619,0.602,257805700.0
2024-03-08,0.603,0.616,0.618,0.603,246077400.0
2024-03-11,0.624,0.65,0.651,0.624,637038369.0
2024-03-12,0.655,0.65,0.658,0.646,380339789.0
