date,open,close,high,low,vol,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2024-01-30,0.922,0.905,0.938,0.898,3665169.0,-0.0352,-0.0504,-0.1101,44.5652,-0.0171,-0.0156,-0.0015,0.4905,4833997.6,0.7582
2024-01-31,0.896,0.854,0.913,0.851,4057218.0,-0.0564,-0.1029,-0.1693,32.5397,-0.0236,-0.0172,-0.0064,0.5183,4815907.4,0.8425
2024-02-01,0.837,0.861,0.887,0.823,4406463.0,0.0082,-0.1205,-0.1517,36.1111,-0.0278,-0.0193,-0.0085,0.5214,4727029.8,0.9322
2024-02-02,0.864,0.851,0.901,0.821,5553511.0,-0.0116,-0.1307,-0.1378,34.9593,-0.0316,-0.0218,-0.0098,0.5164,4601984.8,1.2068
2024-02-05,0.837,0.784,0.837,0.766,6130278.0,-0.0787,-0.1642,-0.1942,30.0699,-0.0396,-0.0253,-0.0142,0.5759,4762527.8,1.2872
2024-02-06,0.765,0.843,0.851,0.758,6076207.0,0.0753,-0.0685,-0.1318,40.6926,-0.0406,-0.0284,-0.0122,0.6508,5244735.4,1.1585
2024-02-07,0.838,0.848,0.866,0.832,4096812.0,0.0059,-0.007,-0.1026,38.8393,-0.0406,-0.0308,-0.0098,0.6474,5252654.2,0.78
2024-02-08,0.852,0.881,0.89,0.852,4791435.0,0.0389,0.0232,-0.1065,39.9123,-0.0375,-0.0322,-0.0053,0.6432,5329648.6,0.899
2024-02-19,0.922,0.95,0.95,0.906,5794116.0,0.0783,0.1163,-0.0114,55.2863,-0.0291,-0.0316,0.0024,0.7019,5377769.6,1.0774
2024-02-20,0.941,0.942,0.961,0.919,4595900.0,-0.0084,0.2015,-0.0208,48.6618,-0.0229,-0.0298,0.0069,0.7026,5070894.0,0.9063
2024-02-21,0.923,0.944,0.974,0.92,5217657.0,0.0021,0.1198,-0.0115,49.0291,-0.0176,-0.0274,0.0098,0.7021,4899184.0,1.065
2024-02-22,0.953,0.963,0.97,0.947,3041119.0,0.0201,0.1356,0.0366,48.0198,-0.0117,-0.0242,0.0126,0.6976,4688045.4,0.6487
2024-02-23,0.97,0.987,0.989,0.954,3607104.0,0.0249,0.1203,0.0411,50.9346,-0.005,-0.0204,0.0154,0.6993,4451179.2,0.8104
2024-02-26,0.976,0.985,1.005,0.965,4710220.0,-0.002,0.0368,0.0123,56.0411,0.0001,-0.0163,0.0164,0.6939,4234400.0,1.1124
2024-02-27,0.975,1.035,1.038,0.974,5222988.0,0.0508,0.0987,0.1475,66.0099,0.0081,-0.0114,0.0195,0.6556,4359817.6,1.198
2024-02-28,1.047,0.992,1.079,0.988,6939298.0,-0.0415,0.0508,0.0409,67.3367,0.0108,-0.007,0.0178,0.6512,4704145.8,1.4751
2024-02-29,0.985,1.023,1.025,0.976,5231134.0,0.0312,0.0623,0.0746,69.1943,0.0153,-0.0025,0.0178,0.6587,5142148.8,1.0173
2024-03-01,1.022,1.039,1.047,1.013,4906460.0,0.0156,0.0527,0.0613,71.9626,0.0199,0.002,0.018,0.6541,5402020.0,0.9083
2024-03-04,1.039,1.051,1.055,1.013,4856506.0,0.0115,0.067,0.0735,85.7909,0.0243,0.0064,0.0179,0.6545,5431277.2,0.8942
