date,open,close,high,low,vol,amt,amp,pct,chg,turnover,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2024-03-21,132.605,132.679,132.687,132.52,35896.0,483576756.0,0.13,0.02,0.024,14.37,0.0002,0.0024,0.0033,61.6715,0.079,0.0708,0.0081,0.0104,44215.4,0.8118
2024-03-22,132.736,132.712,132.796,132.679,38493.0,518969632.0,0.09,0.02,0.033,15.41,0.0002,0.002,0.0023,62.6754,0.085,0.0737,0.0113,0.0095,43536.6,0.8842
2024-03-25,132.576,132.648,132.672,132.554,41118.0,553835634.0,0.09,-0.05,-0.064,16.46,-0.0005,0.0006,0.0017,58.9539,0.0836,0.0756,0.0079,0.0098,43458.4,0.9461
2024-03-26,132.601,132.633,132.64,132.594,31516.0,424598115.0,0.03,-0.01,-0.015,12.62,-0.0001,-0.0003,0.0013,50.3634,0.0804,0.0766,0.0038,0.0098,42886.0,0.7349
2024-03-27,132.628,132.687,132.708,132.617,40304.0,543158055.0,0.07,0.04,0.054,16.14,0.0004,0.0002,0.0017,46.9478,0.0812,0.0775,0.0037,0.0098,37465.4,1.0758
2024-03-28,132.744,132.671,132.744,132.652,2827.0,38109293.0,0.07,-0.01,-0.016,1.13,-0.0001,-0.0001,0.0012,48.9583,0.0797,0.0779,0.0017,0.0098,30851.6,0.0916
2024-03-29,132.703,132.819,132.829,132.675,40632.0,548002566.0,0.12,0.11,0.148,16.27,0.0011,0.0008,0.0029,61.5965,0.0894,0.0802,0.0092,0.0101,31279.4,1.299
2024-04-01,132.821,132.774,132.822,132.712,30373.0,409613209.0,0.08,-0.03,-0.045,12.16,-0.0003,0.0009,0.0025,67.574,0.0924,0.0827,0.0097,0.0103,29130.4,1.0427
2024-04-02,132.774,132.822,132.826,132.774,37738.0,509095249.0,0.04,0.04,0.048,15.11,0.0004,0.0014,0.0028,72.3131,0.0975,0.0856,0.0119,0.0103,30374.8,1.2424
2024-04-03,132.872,132.959,132.966,132.864,34318.0,463414435.0,0.08,0.1,0.137,13.74,0.001,0.002,0.0025,82.1739,0.1113,0.0908,0.0206,0.0099,29177.6,1.1762
2024-04-08,132.959,133.126,133.154,132.948,31544.0,426404639.0,0.15,0.13,0.167,12.63,0.0013,0.0034,0.0029,83.6653,0.1342,0.0995,0.0348,0.0103,34921.0,0.9033
2024-04-09,133.126,133.251,133.269,133.078,41409.0,560376532.0,0.14,0.09,0.125,16.58,0.0009,0.0033,0.0042,83.6978,0.1606,0.1117,0.0489,0.0105,35076.4,1.1805
2024-04-10,133.183,133.265,133.296,133.154,52895.0,715854808.0,0.11,0.01,0.014,21.18,0.0001,0.0037,0.005,82.0569,0.1805,0.1255,0.0551,0.01,39580.8,1.3364
2024-04-11,133.266,133.29,133.353,133.264,39365.0,533063942.0,0.07,0.02,0.025,15.76,0.0002,0.0035,0.0061,84.6995,0.1961,0.1396,0.0565,0.0089,39906.2,0.9864
2024-04-12,133.333,133.465,133.495,133.333,39987.0,541980870.0,0.12,0.13,0.175,16.01,0.0013,0.0038,0.0077,86.8668,0.22,0.1557,0.0644,0.0093,41040.0,0.9743
2024-04-15,133.471,133.446,133.541,133.438,30803.0,417584221.0,0.08,-0.01,-0.019,12.33,-0.0001,0.0024,0.0082,84.8859,0.2348,0.1715,0.0633,0.0089,40891.8,0.7533
2024-04-16,133.446,133.373,133.446,133.284,38683.0,524038437.0,0.12,-0.05,-0.073,15.49,-0.0005,0.0009,0.007,84.1659,0.2378,0.1848,0.053,0.0095,40346.6,0.9588
2024-04-17,133.373,133.408,133.438,133.373,34128.0,462501503.0,0.05,0.03,0.035,13.66,0.0003,0.0011,0.0063,85.8464,0.2402,0.1959,0.0444,0.0092,36593.2,0.9326
2024-04-18,133.456,133.514,133.525,133.388,31451.0,426368681.0,0.1,0.08,0.106,12.59,0.0008,0.0017,0.0063,86.496,0.2479,0.2063,0.0416,0.0092,35010.4,0.8983
2024-04-19,133.575,133.602,133.632,133.575,68993.0,936298335.0,0.04,0.07,0.088,27.62,0.0007,0.001,0.0071,88.6307,0.2581,0.2166,0.0415,0.0091,40811.6,1.6905
2024-04-22,133.616,133.683,133.686,133.616,30708.0,416881888.0,0.05,0.06,0.081,12.29,0.0006,0.0018,0.0076,87.9613,0.2696,0.2272,0.0424,0.0091,40792.6,0.7528
